iter	MAE
206	0.1448673065
207	0.1444399663
208	0.1441207225
209	0.1438758446
210	0.1433736718
211	0.1429747745
212	0.1426061841
213	0.1423864381
214	0.141784638
215	0.1411355734
216	0.1408917215
217	0.1407107498
218	0.1402968008
219	0.1401501498
220	0.1398739995
221	0.1395974635
222	0.139283361
223	0.1389759236
224	0.1387495737
225	0.1385957598
226	0.1384166406
227	0.1382865302
228	0.137952126
229	0.1377223435
230	0.1375331443
231	0.1374607181
232	0.1373403439
233	0.1370300233
234	0.1367440598
235	0.1365235254
236	0.1363278375
237	0.1361947195
238	0.1360851018
239	0.1358910103
240	0.1356184129
241	0.1353565916
242	0.1351725487
243	0.1350356496
244	0.1349382052
245	0.134847912
246	0.1347625861
247	0.1346819756
248	0.134607362
249	0.1344727306
250	0.1343574262
251	0.1341769316
252	0.1339314544
253	0.1337903978
254	0.1336240718
255	0.1334186923
256	0.1332632609
257	0.132940595
258	0.1327931614
259	0.1324469949
260	0.1323590157
261	0.1322024758
262	0.1319980236
263	0.1318709586
264	0.1316109826
265	0.1315082859
266	0.1313723642
267	0.1312381225
268	0.1311262843
269	0.1310447471
270	0.1309539669
271	0.1308309087
272	0.1305465566
273	0.1304278637
274	0.130316841
275	0.1302087378
276	0.1294356442
277	0.1293128156
278	0.1291817388
279	0.1290908642
280	0.128883563
281	0.1287466198
282	0.1280851328
283	0.1279574874
284	0.127828339
285	0.1277558669
286	0.127640536
287	0.1275068923
288	0.1274458876
289	0.1273193059
290	0.12722314
291	0.1271701848
292	0.1271286754
293	0.1269968364
294	0.1269348183
295	0.1268520489
296	0.1267047301
297	0.1265928234
298	0.1265079589
299	0.1264677699
300	0.1263228535
301	0.126008054
302	0.1259848761
303	0.1255973772
304	0.1255081997
305	0.1253943678
306	0.1253154309
307	0.1252793838
308	0.1252022562
309	0.1249809327
310	0.1248474771
311	0.1246828483
312	0.1244473922
313	0.1242788614
314	0.1242215704
315	0.124098068
316	0.1239767888
317	0.1239164136
318	0.1238061274
319	0.1236363375
320	0.1234868216
321	0.1233798108
322	0.123342331
323	0.1232041335
324	0.1231483002
325	0.1231488543
326	0.1230116391
327	0.122843528
328	0.1227812523
329	0.122461054
330	0.1223223006
331	0.122227284
332	0.1220936519
333	0.121963802
334	0.1216325064
335	0.1212040405
336	0.1211046324
337	0.1210133229
338	0.1208707835
339	0.1207394775
340	0.1206496845
341	0.1205769324
342	0.1205128862
343	0.120426506
344	0.1202893218
345	0.1201625435
346	0.1201321697
347	0.1201104402
348	0.1200985069
349	0.120055233
350	0.1199290284
351	0.1198148598
352	0.1197353995
353	0.1196297778
354	0.11952665
355	0.1193872066
356	0.1193270548
357	0.1192432717
358	0.119158278
359	0.1190064544
360	0.1189642207
361	0.118928852
362	0.1188322598
363	0.1187609516
364	0.11868733
365	0.1185994245
366	0.1185495323
367	0.1184785491
368	0.118435988
369	0.1183347641
370	0.1182307742
371	0.1181131673
372	0.1180504342
373	0.117990099
374	0.1178405609
375	0.1177626831
376	0.1176362954
377	0.1174691775
378	0.1173863987
379	0.1172732706
380	0.1172194677
381	0.1171346453
382	0.1170825583
383	0.1169592928
384	0.1168633343
385	0.1167301749
386	0.1166389101
387	0.1165440122
388	0.1164212706
389	0.116234464
390	0.1160624462
391	0.1160287671
392	0.1159893848
393	0.1158429523
394	0.1158229223
395	0.1158065082
396	0.1157933737
397	0.1157618376
398	0.1152881635
399	0.1151970019
400	0.1150623
401	0.1149430361
402	0.1147867865
403	0.1145635347
404	0.1144596337
405	0.1143699295
406	0.1142997481
407	0.1142027213
408	0.1141442476
409	0.1140877108
410	0.1140214661
411	0.1139287066
412	0.1138467674
413	0.1137700602
414	0.1136731454
415	0.1136283738
416	0.1135904228
417	0.1135267635
418	0.1133969738
419	0.1133420853
420	0.1132562508
421	0.1131570873
422	0.1130372071
423	0.112901
424	0.1128402512
425	0.1127506775
426	0.1127074216
427	0.1126106164
428	0.1125280659
429	0.1124678791
430	0.1124152613
431	0.1123354788
432	0.1122236675
433	0.1121355578
434	0.1120846949
435	0.1120261264
436	0.1119666782
437	0.1119189761
438	0.1118701353
439	0.1118366584
440	0.1118049266
441	0.1116919331
442	0.1116132004
443	0.1115266086
444	0.1114234433
445	0.1113586253
446	0.1112633454
447	0.1112018427
448	0.1111611597
449	0.1110771237
450	0.1109689153
451	0.1108700378
452	0.1108042201
453	0.110764542
454	0.1107269155
455	0.1106813531
456	0.1106259907
457	0.1105527404
458	0.1104974185
459	0.1104637788
460	0.1104208766
461	0.1103757816
462	0.1103186022
463	0.110248452
464	0.1102095953
465	0.110162511
466	0.1101104221
467	0.1100309418
468	0.1099734574
469	0.1098762084
470	0.1097461696
471	0.1096670525
472	0.1096296873
473	0.1096026194
474	0.109570755
475	0.1095457559
476	0.1095228593
477	0.1094712169
478	0.1094290275
479	0.1093786166
480	0.1093395721
481	0.1092272495
482	0.1091318867
483	0.109074549
484	0.1090289061
485	0.1089181309
486	0.1088441094
487	0.1087216399
488	0.1086791201
489	0.1085204594
490	0.1084752549
491	0.1084277425
492	0.1083852708
493	0.1082775199
494	0.1081491326
495	0.1080843589
496	0.1079721904
497	0.1079213527
498	0.1078882054
499	0.1078334064
500	0.1077210516
501	0.1076547933
502	0.107579762
503	0.1075008752
504	0.1073651064
505	0.1072836248
506	0.1072669246
