feature,rev_lgb,rev_cat,cog_lgb,cog_cat,total
cos_y1,0.19409921304309907,0.20844580376558278,0.20016888301638444,0.22690461298926962,0.8296185128143359
t_days,0.1762684897750447,0.07551070559806007,0.17088614273980865,0.09245458188190785,0.5151199199948212
t_years,0.053553454835673406,0.10657128692202501,0.05885179823485556,0.07748758111346743,0.2964641211060214
doy,0.10902492274078514,0.039008769082645056,0.09458044253849492,0.03167833234751526,0.27429246670944035
sin_m1,0.03923989515030674,0.06222905466817339,0.042421865504639555,0.05523152923307685,0.19912234455619654
days_to_eom,0.05566148099762175,0.03659118842842105,0.061455117094047496,0.037979525110454986,0.19168731163054528
sin_y1,0.027616855005499884,0.05176468524086133,0.031879583441648825,0.032047827731536964,0.143308951419547
cos_m1,0.039009401776031315,0.02571340298493723,0.04176820357966042,0.027387016639137868,0.13387802497976684
month,0.018932464179010722,0.037712981149007785,0.0195782501501061,0.04385966309981867,0.12008335857794328
day,0.03024722598725434,0.019526995031443586,0.030916913736525446,0.027449286762514048,0.10814042151773742
sin_w1,0.024923992049404365,0.021293522758844725,0.027433193829561536,0.029911490198772914,0.10356219883658355
sin_m2,0.010598346960218684,0.028253431179732533,0.012194879364898902,0.034826839473046815,0.08587349697789694
year,0.010732374521844747,0.021921804980376703,0.013471032093840367,0.03966945945467065,0.08579467105073246
dow,0.019370972350326043,0.021527894078473275,0.020447140891980974,0.017105301784911302,0.0784513091056916
days_from_som,0.010196567838790527,0.03056773685268168,0.010823773737520173,0.026762769871649616,0.078350848300642
cos_w1,0.01826881683961,0.014022530639031637,0.018787038358651777,0.013017006803973927,0.06409539264126735
sin_y2,0.018508769878414814,0.01689603728787823,0.012815503001162373,0.009347322593643029,0.05756763276109845
tet_days_diff,0.015283553364498074,0.009258124743093076,0.022526430656520758,0.005587466711563865,0.05265557547567577
cos_y2,0.013235600901322222,0.007052164008478065,0.007182575935236591,0.013777047101135751,0.04124738794617263
cos_m2,0.0051315724199952435,0.01412368998725467,0.004936383457912872,0.01587807489773994,0.04006972076290273
cos_y3,0.00935400280569605,0.010078394515849768,0.010731716276096174,0.008578570174073484,0.038742683771715476
sin_y3,0.012644437495453777,0.005704691665097116,0.010711417603663747,0.0075453514799158905,0.036605898244130526
