iter	MAE
0	0.1843780166
1	0.1773269255
2	0.1716096739
3	0.1665217134
4	0.1606941572
5	0.156154832
6	0.1513661958
7	0.1475664504
8	0.1439135819
9	0.1395901387
10	0.1361394682
11	0.1333148923
12	0.129953195
13	0.1264783628
14	0.1228332113
15	0.1200439868
16	0.116929012
17	0.1140293741
18	0.1115677879
19	0.1090604518
20	0.1067125149
21	0.1051317886
22	0.103351986
23	0.1014946735
24	0.09961355121
25	0.09812172655
26	0.09616211607
27	0.09471115306
28	0.09372656671
29	0.09252464562
30	0.09142354425
31	0.09020047003
32	0.08890136315
33	0.08794753482
34	0.08663933305
35	0.08581896482
36	0.08487939581
37	0.08369622319
38	0.08263019411
39	0.0818117322
40	0.08109981509
41	0.08053354989
42	0.07991673388
43	0.07920444004
44	0.07833825797
45	0.07786450898
46	0.07751258428
47	0.07702071334
48	0.07658962696
49	0.07630303338
50	0.07605564189
51	0.07559177084
52	0.07522296046
53	0.0747647226
54	0.0744721442
55	0.07412362742
56	0.07379827868
57	0.07342088281
58	0.07323923183
59	0.07294583178
60	0.07254338257
61	0.07229853836
62	0.07207961017
63	0.07194030054
64	0.07179325398
65	0.07153172587
66	0.07127486312
67	0.07109676682
68	0.07087306983
69	0.07068539225
70	0.0703686571
71	0.07006397639
72	0.06994753929
73	0.06990123647
74	0.06975605268
75	0.06960372464
76	0.0695077539
77	0.06946181463
78	0.06918095755
79	0.06910252298
80	0.06902694566
81	0.0689417222
82	0.06888826062
83	0.06882260257
84	0.0687560395
85	0.06867728084
86	0.06864772497
87	0.068621163
88	0.06858672758
89	0.06847309188
90	0.06835385422
91	0.06802208223
92	0.06793831989
93	0.06785447042
94	0.06785299837
95	0.06780150832
96	0.06772028473
97	0.06759202587
98	0.06725126745
99	0.06719128638
100	0.06713247226
101	0.06712957906
102	0.06709470454
103	0.06709506209
104	0.06706789866
105	0.06705621338
106	0.06700198204
107	0.0668952965
108	0.06682440907
109	0.06671524058
110	0.06669428397
111	0.06664277266
112	0.06658806051
113	0.06651181148
114	0.06644543725
115	0.06638941571
116	0.06632849951
117	0.06622632092
118	0.06616810547
119	0.06585070444
120	0.06577146778
121	0.0657324911
122	0.0656921438
123	0.06560298989
124	0.06559053931
125	0.06555477717
126	0.06546847649
127	0.06540464311
128	0.06533683027
129	0.06525242957
130	0.06520860192
131	0.06518197086
132	0.06512593964
133	0.06507627288
134	0.06502164149
135	0.06495300733
136	0.06490099548
137	0.06486083361
138	0.06484200173
139	0.06472948315
140	0.06469779708
141	0.06464027099
142	0.06461112726
143	0.06455638138
144	0.0642203767
145	0.06416713787
146	0.06411656244
147	0.06406509777
148	0.06375139829
149	0.06368392413
150	0.06357583747
151	0.06355178112
152	0.06350672156
153	0.0634040316
154	0.06329465727
155	0.06323401545
156	0.06318793901
157	0.06313110777
